store_id,store_name,store_type,format,address_street,address_city,address_state,address_country,address_postal_code,address_region,coordinates_latitude,coordinates_longitude,phone,email,manager_id,opening_date,size_sqft,employee_count,opening_hours_monday,opening_hours_tuesday,opening_hours_wednesday,opening_hours_thursday,opening_hours_friday,opening_hours_saturday,opening_hours_sunday,services,avg_daily_customers,avg_transaction_value,monthly_sales,inventory_value,parking_spaces,has_cafe,has_wifi,is_24_hours,last_renovation,status,notes
STORE100,Smithview Outlet,Regular,Standalone,929 Ward Glens,Smithview,,Togo,24359,Middle East,-85.413823,-55.219898,926-952-0008,store100@company.com,REP146,2023-10-24,4220,10,9:00-21:00,9:00-21:00,9:00-21:00,9:00-21:00,9:00-22:00,10:00-22:00,11:00-19:00,"[""Returns"", ""Personal shopping"", ""In-store pickup""]",204,106,337629,631142,47,False,True,False,,Permanently Closed,Low foot traffic
STORE101,San Antonio Outlet,Flagship,Standalone,42502 Rivera Mountain Suite 493,San Antonio,Alaska,USA,10289,North America,-11.493522,156.38034,673-850-4299,store101@company.com,REP104,2018-04-09,5223,29,9:00-21:00,9:00-21:00,9:00-21:00,9:00-21:00,9:00-22:00,10:00-22:00,11:00-19:00,"[""Gift wrapping"", ""Personal shopping"", ""Returns""]",392,179,58604,138755,22,False,True,True,,Temporarily Closed,Located in prime location
STORE102,Stephenchester Store,Flagship,Street,84015 James Causeway Suite 430,Stephenchester,,United Arab Emirates,92342,Asia Pacific,-73.491347,27.251588,386-860-3406x542,store102@company.com,REP145,2024-03-17,2425,9,9:00-21:00,9:00-21:00,9:00-21:00,9:00-21:00,9:00-22:00,10:00-22:00,11:00-19:00,"[""In-store pickup"", ""Returns"", ""Repairs""]",1046,329,299685,661428,63,True,False,True,2022-05-19,Permanently Closed,
STORE103,Prague Boutique,Warehouse,Street,376 Aaron Shore Suite 941,Prague,,Italy,88738,Europe,-66.160253,115.035583,(422)309-9880x226,store103@company.com,REP124,2016-10-30,4535,10,9:00-21:00,9:00-21:00,9:00-21:00,9:00-21:00,9:00-22:00,10:00-22:00,11:00-19:00,"[""In-store pickup"", ""Personal shopping"", ""Returns""]",1999,320,110351,428998,36,True,True,False,2021-09-22,Permanently Closed,Low foot traffic
STORE104,Amsterdam Outlet,Outlet,Standalone,466 Matthew Mountains Suite 190,Amsterdam,,UK,01242,Europe,38.608781,129.506657,+1-210-628-2623,store104@company.com,REP103,2021-07-31,9544,5,9:00-21:00,9:00-21:00,9:00-21:00,9:00-21:00,9:00-22:00,10:00-22:00,11:00-19:00,"[""Gift wrapping"", ""In-store pickup"", ""Installation""]",1170,358,58691,878013,23,True,False,True,2022-09-14,Temporarily Closed,Low foot traffic
STORE105,Lake Rebecca Superstore,Flagship,Shopping Center,795 Daniels Pass,Lake Rebecca,,Czech Republic,47523,Latin America,57.114616,164.23607,(934)612-8029x3426,store105@company.com,REP133,2025-01-13,2927,33,9:00-21:00,9:00-21:00,9:00-21:00,9:00-21:00,9:00-22:00,10:00-22:00,11:00-19:00,"[""Gift wrapping"", ""In-store pickup"", ""Installation""]",1308,254,428896,389017,59,False,True,False,2025-03-13,Under Renovation,Located in prime location
STORE106,San Diego Superstore,Flagship,Mall,460 Thompson Gardens Suite 130,San Diego,Massachusetts,USA,09131,North America,62.015312,-124.662382,965-515-8238,store106@company.com,REP132,2018-11-01,4032,9,9:00-21:00,9:00-21:00,9:00-21:00,9:00-21:00,9:00-22:00,10:00-22:00,11:00-19:00,"[""Installation"", ""Returns"", ""Repairs""]",1026,358,491923,568360,30,True,False,False,,Permanently Closed,
STORE107,West Lisa Boutique,Flagship,Airport,3415 Mark Crossroad,West Lisa,,Holy See (Vatican City State),88526,Latin America,-29.010554,137.927906,348-604-7032x945,store107@company.com,REP130,2020-02-05,9944,18,9:00-21:00,9:00-21:00,9:00-21:00,9:00-21:00,9:00-22:00,10:00-22:00,11:00-19:00,"[""Installation"", ""Returns"", ""Gift wrapping""]",1177,173,194402,380924,85,True,False,False,,Active,High performing store
STORE108,Port Brookefurt Superstore,Pop-up,Standalone,2558 Arias Rest Apt. 409,Port Brookefurt,,Fiji,31286,Middle East,40.485465,96.687621,303-812-2408x2486,store108@company.com,REP133,2020-02-11,5539,36,9:00-21:00,9:00-21:00,9:00-21:00,9:00-21:00,9:00-22:00,10:00-22:00,11:00-19:00,"[""In-store pickup"", ""Returns"", ""Repairs""]",1364,180,155647,615514,3,True,False,True,,Temporarily Closed,Located in prime location
STORE109,Marshallside Superstore,Warehouse,Mall,5115 John Burg Suite 623,Marshallside,,India,58981,Latin America,-7.645489,54.182357,574.838.1637x1647,store109@company.com,REP102,2017-01-24,3145,8,9:00-21:00,9:00-21:00,9:00-21:00,9:00-21:00,9:00-22:00,10:00-22:00,11:00-19:00,"[""Gift wrapping"", ""Personal shopping"", ""In-store pickup""]",125,254,267008,838703,43,True,False,False,,Under Renovation,Low foot traffic
STORE110,North Michelle Store,Pop-up,Mall,759 Garcia Stream Suite 908,North Michelle,,Libyan Arab Jamahiriya,67595,Asia Pacific,22.81907,-125.943658,4973054035,store110@company.com,REP102,2018-04-10,4634,18,9:00-21:00,9:00-21:00,9:00-21:00,9:00-21:00,9:00-22:00,10:00-22:00,11:00-19:00,"[""Returns"", ""Repairs"", ""Personal shopping""]",354,170,344082,115003,84,True,True,True,2023-08-21,Temporarily Closed,Located in prime location
STORE111,Madrid Store,Pop-up,Standalone,95039 David Rue Suite 326,Madrid,,France,56053,Europe,85.49384,167.880523,+1-853-516-1935x0294,store111@company.com,REP121,2024-06-18,9902,10,9:00-21:00,9:00-21:00,9:00-21:00,9:00-21:00,9:00-22:00,10:00-22:00,11:00-19:00,"[""In-store pickup"", ""Gift wrapping"", ""Repairs""]",1919,195,218869,226769,20,False,False,False,,Temporarily Closed,Low foot traffic
STORE112,New Alexandra Outlet,Outlet,Shopping Center,1293 Peter Green,New Alexandra,,Belgium,99860,Middle East,-3.376224,25.776366,(545)821-2472,store112@company.com,REP125,2018-07-31,5138,13,9:00-21:00,9:00-21:00,9:00-21:00,9:00-21:00,9:00-22:00,10:00-22:00,11:00-19:00,"[""Returns"", ""Installation"", ""In-store pickup""]",143,317,496491,275098,80,False,True,False,,Temporarily Closed,Located in prime location
